X,Y,SiteNo,SiteID.NMBGMR,Easting,Northing,AltVa,WellDepth,FormationZone.NMBGMR,FormationMeaning.NMBGMR,DepthToWater,AgencyCd,AgencyNm,CountyNm
-106.309754154323,34.96342209354,BC-0001,,380426,3869770,7438,364,,,2,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.308375841291,34.9559531015069,BC-0002,,380541,3868940,7411,360,,,18,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.37326767898,35.1224926017684,BC-0006,,374870,3887490,6781,200,,,22,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.374820045797,35.1240979479416,BC-0008,350726106222701,374731,3887670,6818,260,,,24,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.375035785714,35.1277922115717,BC-0009,,374717,3888080,6893,540,,,18,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.375133023741,35.1277009444978,BC-0010,,374708,3888070,6890,270,,,18,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.373529874647,35.1243830690127,BC-0013,350728106222301,374849,3887700,6824,140,,,20,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.443249662411,35.0690240524558,BC-0014,,368407,3881650,6106,306,,,23,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.466591138718,35.0563916262496,BC-0015,,366258,3880280,5844,,,,17,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.463843940277,35.0591297186207,BC-0016,,366513,3880580,5818,,,,17,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.442926499753,35.073716403173,BC-0018,,368444,3882170,6243,145,,,15,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.443194840242,35.0690247049114,BC-0019,,368412,3881650,6105,,,,26,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.442264034524,35.067232506693,BC-0020,,368494,3881450,6043,,,,21,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.465391335008,35.0592011951985,BC-0022,,366372,3880590,5789,185,,,20,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.44159336776,35.065888026524,BC-0023,350357106262801,368553,3881300,6005,85,400PCMB,Precambrian Erathem,22,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.443526652139,35.0679387924535,BC-0024,350405106263501,368380,3881530,6077,125,400PCMB,Precambrian Erathem,13,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.444632597905,35.0746878877861,BC-0025,,368290,3882280,6266,180,,,10,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.348364710653,35.1362968342101,BC-0027,,377160,3888990,7126,790,,,22,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.306980967783,35.1518077240387,BC-0031,,380953,3890660,6706,320,,,26,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.282379731408,35.1504476756834,BC-0032,,383192,3890480,6869,210,,,24,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.282186803331,35.1486464274795,BC-0033,,383207,3890280,6851,225,,,25,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.379094465248,35.0918608707566,BC-0034,350531106224301,374292,3884100,6478,160,211MVRD,Mesaverde Group,79,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.340648685608,35.1095135303477,BC-0036,,377823,3886010,6776,350,,,18,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.32450416881,35.122133721871,BC-0038,,379313,3887390,6753,300,,,23,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.334844802571,35.1512334182666,BC-0041,,378414,3890630,6826,260,,,14,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.348560841049,35.1448602146526,BC-0043,,377155,3889940,6988,580,,,18,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.305959616155,35.114670983238,BC-0044,,380992,3886540,6861,240,,,19,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.302724743172,35.1189435383109,BC-0045,,381293,3887010,6904,,,,19,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.336345781727,35.1134381157387,BC-0046,,378221,3886440,6812,,,,18,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.286929019349,35.1472436788929,BC-0047,,382773,3890130,6837,245,,,18,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.342227951746,35.1355534935361,BC-0051,,377718,3888900,6941,245,,,18,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.319997970683,35.1509452782824,BC-0052,,379766,3890580,6858,,,,9,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.305943966888,35.1157531283771,BC-0053,,380995,3886660,6851,240,,,18,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.30439604773,35.1294748203613,BC-0054,,381156,3888180,6876,460,,,16,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.355896066847,35.1033029220134,BC-0055,,376424,3885340,6558,160,,,18,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.340715561261,35.1115865705587,BC-0058,,377820,3886240,6669,216,,,17,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.303517964208,35.1480581367561,BC-0059,,381263,3890240,6708,343,,,16,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.338071820602,35.1357797891359,BC-0061,,378097,3888920,6922,245,,,16,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.300979919665,35.1403312830459,BC-0062,,381483,3889380,6785,325,,,8,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.328988998104,35.1313715424299,BC-0063,,378918,3888420,6856,385,,,16,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.322784150808,35.1277426986907,BC-0065,,379478,3888010,6820,400,,,15,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.352829634113,35.1029765262086,BC-0066,,376703,3885300,6563,130,,,15,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.33174476557,35.1671363600382,BC-0068,,378720,3892390,6702,360,,,26,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
-106.334155462861,35.150700028667,BC-0070,,378476,3890570,6802,240,,,18,NMBGMR,New Mexico Bureau of Geology and Mineral Resources,Bernalillo County
