PointID,SiteID,Easting,Northing,Altitude,OSEWellID,HoleDepth,WellDepth,FormationZone,Geometry,ObjectID,x,y,wkid
TO-0419,,"407,584","3,869,490","6,173",,,72,112QTBF,,6,-11801235.81,4158955.596,102100
EB-400,,"403,504","3,928,935","6,166",RG-28307,121,121,123ESPN/112ANCH,,7,-11806986.51,4231942.145,102100
EB-055,,"418,080","3,939,640","7,258",RG-36353,320,320,400EMBD,,11,-11789218.71,4245325.917,102100
EB-370,,"401,630","3,937,747","6,151",RG-48749,90,90,112ANCHsr,,13,-11809405.41,4242784.659,102100
EB-674,,"415,491","3,938,137","6,918",RG-71979,475,475,121TSUQa/400EMBD,,36,-11792382.45,4243441.214,102100
SD-0153,,"374,600","3,883,970","6,445",X,170,170,310ABO,,40,-11841689.5,4176218.243,102100
BC-0030,,"381,074","3,889,970","6,748",S-01679,,127,,,50,-11833881.19,4183686.264,102100
PC-039,,"372,083","3,908,416","6,032",X,31,31,318ABO,,52,-11845185.12,4206195.958,102100
EB-463,,"418,467","3,960,683","7,270",RG-39113,816,816,121TSUQa,,55,-11788980.74,4271332.773,102100
AR-0077,,"238,501","4,087,240","5,740",X,,,,,60,-12015224.41,4424473.387,102100
EB-066,,"416,340","3,954,065","7,347",RG-53477,725,725,121TSUQsf,,69,-11791523.59,4263123.966,102100
AR-0216,,"232,186","4,079,990","5,629",SJ-04060,36,36,,,71,-12022819.02,4415146.287,102100
AR-0085,,"240,596","4,088,880","5,781",X,23,,,,72,-12012672.82,4426609.259,102100
SD-0227,,"395,511","3,881,430","6,451",X,148,148,050QUAL,,75,-11816121.76,4173427.756,102100
AR-0208,,"235,162","4,083,104","5,665",X,28,28,,,76,-12019229.88,4419162.305,102100
BC-0265,,"352,614","3,894,870","4,999",RG-07569,,42,,,80,-11868747.02,4189187.398,102100
AR-0097,,"237,753","4,085,610","5,735",X,,,,,83,-12016094.98,4422402.1,102100
EB-156,,"400,727","3,949,653","6,439",exempt,350,350,121TSUQs,,86,-11810677.83,4257472.592,102100
SD-0273,,"382,210","3,889,610","6,766",X,65,65,110ALVM,,89,-11832487.54,4183262.654,102100
